GEN_BOTANIC;DENUMIRE_CULTURA;COD;Traduction;ASSOLIA;SCHEMA_PLATA_MASURA_SPRIJIN;SECTIUNE;Colonne1
Trifolium;TRIFOI;973;Trèfle;Clover;SAPS, ANT1, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Medicago;LUCERN?;974;Luzerne;Alfalfa;SAPS, ANT1, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Medicago;LUCERN?;9747;Luzerne;Alfalfa;SAPS, ANT1, SC7.2, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Medicago;LUCERN?;9748;Luzerne;Alfalfa;SAPS, ANT1, SC7.2, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Medicago;LUCERN? PENTRU S?MÂN??;9749;Luzerne semence;Arable other crop;SAPS, ANT1, SC7.2, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Onobrychis;SPARCET?;975;Sainfoin;Arable other crop;SAPS, ANT1, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Phacelia;PHACELIA;976;Phacélie;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Sinapis;MU?TAR;977;Moutarde;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Lotus;GHIZDEI;978;Lotier corniculé;Arable other crop;SAPS, ANT1, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Agaricus;CIUPERCI;979;Champignon;;;I. TEREN ARABIL – TA;
Fragaria;C?P?UNI;803;Fraise;Arable other crop;SAPS, ANT1, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Cichorium;CICOARE;805;Chicorée;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P5, M11_S2_P5, P5.5;I. TEREN ARABIL – TA;
Brassica;RAPI?? ENERGETIC?;9540;Colza énergie;Arable other crop;SAPS, ANT1, M10_P4, P4, M10_P7, P7;I. TEREN ARABIL – TA (Culturi energetice);
Zea;PORUMB ENERGETIC;9541;Maïs énergie;Arable other crop;SAPS, ANT1, M10_P4, P4, M10_P7, P7;I. TEREN ARABIL – TA (Culturi energetice);
Sorghum;SORG ZAHARAT ENERGETIC;9542;Sorgho saccharate énergie;Arable other crop;SAPS, ANT1, M10_P4, P4;I. TEREN ARABIL – TA (Culturi energetice);
Sorghum;SORG X SUDAN ENERGETIC;9543;Sorgho et herbe soudan énergie;Arable other crop;SAPS, ANT1, M10_P4, P4;I. TEREN ARABIL – TA (Culturi energetice);
Cynara;ANGHINARE ENERGETIC?;9544;Artichauts énergie;Arable other crop;SAPS, ANT1, M10_P4, P4;I. TEREN ARABIL – TA (Culturi energetice);
Panicum;MEI ENERGETIC;9545;Millet énergie;Arable other crop;SAPS, ANT1, M10_P4, P4;I. TEREN ARABIL – TA (Culturi energetice);
Euphorbia;LAPTELE-CÂINELUI ENERGETIC;9546;Epurge énergie;Arable other crop;SAPS, ANT1;I. TEREN ARABIL – TA (Culturi energetice);
Elytrigia;IARBA ENERGETIC?;9547;Herbe énergie;Arable other crop;SAPS, ANT1;I. TEREN ARABIL – TA (Culturi energetice);
Triticosecale;TRITICALE ENERGETIC?;9548;Triticale énergie;Arable other crop;SAPS, ANT1, M10_P4, P4, M10_P7, P7;I. TEREN ARABIL – TA (Culturi energetice);
Secale;SECAR? ENERGETIC?;9549;Seigle énergie;Arable other crop;SAPS, ANT1, M10_P4, P4, M10_P7, P7;I. TEREN ARABIL – TA (Culturi energetice);
Sorghum;SORG ENERGETIC;9550;Sorgho énergie;Arable other crop;SAPS, ANT1, M10_P4, P4;I. TEREN ARABIL – TA (Culturi energetice);
