"culture_id";"culture_name";"structure_id";"structure_name";"metacode"
"1660";"CIVE";"53";"Eureden";""
"1661";"Mélange gram légumineuse";"53";"Eureden";"MLG"
"1663";"Maïs ensilage Irrigué après CIVE hiver";"4";"Assolia";"MIS"
"1664";"Pois protéagineux de printemps";"57";"Chambre d'agriculture 28";"PHI"
"1665";"Prairie Temporaire 5 ans";"57";"Chambre d'agriculture 28";"PPH"
"1666";"Autre Assolé";"57";"Chambre d'agriculture 28";"PPH"
"1667";"Pois chiche";"37";"Terrena Bio";"PCH"
"1668";"Blé tendre d'hiver sous panneaux";"57";"Chambre d'agriculture 28";"BTH"
"1669";"Orge d'hiver sous panneaux";"57";"Chambre d'agriculture 28";"ORH"
"1670";"Colza sous panneaux";"57";"Chambre d'agriculture 28";"CZH"
"1671";"Pois protéagineux d'hiver sous panneaux";"57";"Chambre d'agriculture 28";"PHI"
"1672";"Orge de printemps sous panneaux";"57";"Chambre d'agriculture 28";"ORP"
"1674";"Blé dur d'hiver sous panneaux";"57";"Chambre d'agriculture 28";"BDH"
"1675";"Pavot";"57";"Chambre d'agriculture 28";"OEI"
"1676";"Blé tendre porte graine";"37";"Terrena Bio";"BTH"
"1677";"Triticale d'hiver porte graine";"37";"Terrena Bio";"TTH"
"1678";"Chia irrigué";"37";"Terrena Bio";"CAG"
"1680";"Pois de prtps Orge de prtps";"37";"Terrena Bio";"PPR"
"1681";"Orge Pois de prtps";"37";"Terrena Bio";"ORP"
"1682";"Avoine printemps";"22";"Noriap";"AVH"
"1683";"Feverole hiver";"22";"Noriap";"FVL"
"1684";"Avoine contrat flocons";"22";"Noriap";"AVH"
"1685";"Blé tendre HY";"22";"Noriap";"BTH"
"1686";"Pomme de terre indus NRP";"22";"Noriap";"PTC"
"1687";"Feverole contrat NRP";"22";"Noriap";"FVL"
"1691";"Blé dur d'hiver";"58";"Cavac";"BDH"
"1692";"Blé tendre d'hiver";"58";"Cavac";"BTH"
"1693";"Colza d'hiver";"58";"Cavac";"CZH"
"1694";"Féverole d'hiver";"58";"Cavac";"FVL"
"1695";"Féverole de printemps";"58";"Cavac";"FVP"
"1696";"Jachère";"58";"Cavac";"JAC"
"1697";"Luzerne";"58";"Cavac";"LUZ"
"1698";"Maïs ensilage";"58";"Cavac";"MIS"
"1699";"Orge d'hiver";"58";"Cavac";"ORH"
"1700";"Pois protéagineux d'hiver";"58";"Cavac";"PHI"
"1701";"Pois protéagineux de printemps";"58";"Cavac";"PPR"
"1702";"Prairie permanente";"58";"Cavac";"PPH"
"1703";"Prairie temporaire";"58";"Cavac";"PTR"
"1704";"Seigle d'hiver";"58";"Cavac";"SGH"
"1705";"Soja";"58";"Cavac";"SOJ"
"1706";"Sorgho";"58";"Cavac";"SOG"
"1707";"Tournesol";"58";"Cavac";"TRN"
"1708";"Triticale d'hiver";"58";"Cavac";"TTH"
"1709";"Maïs ensilage Irrigué après RGI";"4";"Assolia";"MIS"
"1710";"Maïs ensilage Irrigué après méteil";"4";"Assolia";"MIS"
"1711";"Luzerne";"59";"esa";"LUZ"
"1712";"Prairie multi-espèce";"59";"esa";"CPL"
"1713";"Pois - triticale";"59";"esa";"PHI"
"1715";"Pois - orge prtp";"59";"esa";"PHI"
"1716";"Blé tendre d'hiver";"59";"esa";"BTH"
"1717";"Triticale";"59";"esa";"BTH"
"1718";"épeautre";"59";"esa";"BTH"
"1719";"Orge prtp1";"59";"esa";"BTH"
"1720";"Tournesol";"59";"esa";"TRN"
"1721";"Prairie temporaire 1 an";"53";"Eureden";"PTR"
"1722";"Luzerne";"53";"Eureden";"PTR"
"1723";"Luzerne 4 an";"53";"Eureden";"PTR"
"1724";"Maïs fourrage après méteil";"53";"Eureden";"MIS"
"1725";"Maïs fourrage après RGI";"53";"Eureden";"MIS"
"1726";"Epinard Maïs";"53";"Eureden";"MIS"
"1727";"Pomme de terre plant";"53";"Eureden";"PTC"
"1729";"Epeautre bio";"41";"STRUCTURE TEST NE PAS TOUCHER";"EPE"
"1730";"Ail bio";"41";"STRUCTURE TEST NE PAS TOUCHER";"AIL"
"1731";"Avoine de floconnerie";"53";"Eureden";"AVP"
"1732";"Avoine fourragère";"53";"Eureden";"AVH"
"1733";"Blé fourrager d'hiver";"53";"Eureden";"BTH"
"1734";"Blé fourrager de printemps";"53";"Eureden";"BTH"
"1735";"Blé meunier d'hiver";"53";"Eureden";"BTH"
"1736";"Blé meunier de printemps";"53";"Eureden";"BTH"
"1739";"Lin";"53";"Eureden";"LIP"
